object_id,developer_id,region_id,planned_year,planned_quarter
1,7542,2,2028,2
2,1456,3,2020,1
3,166,3,2019,3
4,3064,3,2023,4
5,14715,3,2024,3
6,2080,3,2028,3
7,25574,3,2028,1
8,17061,3,2019,1
9,6242,3,2025,2
10,12144,4,2023,1
11,22886,4,2028,3
12,7535,5,2020,3
13,2458,5,2029,2
14,7175,5,2023,1
15,6582,5,2023,3
16,4054,5,2025,2
17,17621,5,2020,3
18,16883,5,2029,3
19,18794,5,2019,1
20,18585,5,2029,2
21,18432,5,2029,2
22,8086,5,2026,1
23,17412,5,2029,4
24,1510,8,2025,3
25,6954,8,2022,3
26,6769,8,2022,3
27,7740,9,2020,1
28,2561,9,2028,3
29,29586,9,2028,2
30,17246,13,2026,1
31,6242,14,2024,1
32,1667,15,2030,2
33,27058,15,2030,3
34,8117,15,2025,2
35,18612,15,2022,3
36,24723,15,2026,1
37,7757,16,2028,2
38,8545,16,2020,4
39,6288,20,2023,2
40,28423,21,2029,3
41,15328,24,2027,4
42,6121,24,2021,1
43,8113,27,2023,2
44,8059,27,2026,1
45,36282,28,2030,4
46,6558,29,2027,2
47,17061,31,2026,3
48,7382,31,2020,3
49,6881,32,2025,3
50,952,34,2022,2
51,7691,35,2029,4
52,7590,37,2023,3
53,7814,38,2029,4
54,6442,46,2026,2
55,2561,47,2027,2
56,4029,47,2025,4
57,2476,47,2026,4
58,36282,48,2022,4
59,1990,48,2019,1
60,3808,48,2022,3
61,5808,52,2023,2
62,7382,53,2023,3
63,6156,55,2020,1
64,1429,66,2025,2
65,8184,67,2024,2
66,7669,68,2022,4
67,8070,68,2022,3
68,36282,6,2021,1
69,15328,9,2025,3
70,29757,25,2023,3
71,2825,35,2027,3
72,8812,2,2025,2
73,8638,7,2030,3
74,13253,11,2023,2
75,14351,11,2019,2
76,18866,11,2029,3
77,8198,13,2027,2
78,1651,12,2022,3
79,8943,8,2024,2
80,1104,44,2019,4
81,3763,3,2020,3
82,9367,22,2028,1
83,9513,40,2020,2
84,7432,42,2022,4
85,19060,65,2020,3
86,2816,4,2025,3
87,36282,4,2026,1
88,2816,50,2027,3
89,6345,57,2026,2
90,9747,23,2025,1
91,36591,40,2029,4
92,17164,40,2020,4
93,15183,40,2021,2
94,16404,40,2020,1
95,28145,40,2027,3
96,9523,5,2025,1
97,9742,15,2023,1
98,8998,45,2028,3
99,10316,62,2028,4
100,9588,3,2023,2
101,9848,5,2029,2
102,10397,5,2027,1
103,22886,24,2028,3
104,17693,24,2022,1
105,17820,24,2027,3
106,17206,24,2026,4
107,27694,24,2019,4
108,20631,24,2020,4
109,33241,24,2019,4
110,372,51,2024,4
111,9802,3,2029,3
112,18710,3,2028,1
113,16452,3,2022,4
114,12915,3,2028,1
115,6336,3,2029,2
116,13373,5,2026,2
117,17337,5,2025,1
118,14314,5,2030,4
119,9770,8,2024,2
120,16108,25,2030,1
121,13712,25,2025,2
122,18340,25,2026,1
123,14899,24,2026,1
124,9625,70,2027,2
125,8160,1,2026,1
126,2457,1,2027,4
127,10445,1,2027,1
128,10533,1,2026,4
129,10543,1,2023,1
130,9077,1,2021,1
131,21261,1,2027,2
132,17596,1,2022,2
133,12360,1,2025,1
134,1228,1,2025,4
135,41447,1,2024,3
136,10573,1,2019,2
137,12168,2,2028,2
138,8660,3,2020,2
139,7788,3,2029,3
140,1467,3,2024,3
141,1813,3,2029,3
142,527,3,2026,1
143,9296,3,2025,3
144,5126,3,2028,4
145,17092,4,2021,3
146,8866,4,2029,3
147,12432,4,2028,3
148,9131,4,2020,3
149,7860,5,2028,2
150,8207,7,2023,4
151,8776,7,2028,3
152,10613,7,2030,1
153,13253,8,2019,1
154,14351,8,2029,1
155,18866,8,2030,1
156,6150,8,2024,4
157,10627,8,2027,1
158,13846,8,2030,3
159,5783,8,2025,2
160,3742,9,2021,2
161,10188,9,2024,3
162,17560,9,2028,4
163,10623,13,2030,1
164,7673,13,2022,1
165,9414,13,2021,2
166,6157,13,2028,2
167,7637,13,2030,1
168,78,13,2024,1
169,156,13,2022,1
170,18358,13,2026,3
171,13603,13,2023,2
172,6884,13,2026,1
173,20215,13,2025,1
174,15941,13,2023,1
175,24527,13,2021,4
176,18615,13,2023,4
177,33981,13,2028,1
178,13278,13,2030,4
179,6889,13,2030,4
180,16106,13,2026,1
181,9499,11,2024,3
182,10459,11,2024,4
183,10557,11,2028,3
184,17048,15,2027,3
185,13574,15,2024,1
186,32143,15,2030,2
187,28452,15,2029,3
188,32859,15,2022,1
189,19515,15,2019,3
190,11171,15,2026,3
191,22276,15,2030,3
192,20572,15,2026,4
193,28892,15,2022,1
194,17201,15,2029,4
195,7401,12,2019,2
196,8526,12,2020,4
197,19053,17,2020,1
198,9198,17,2025,3
199,7061,17,2029,4
200,16902,16,2020,4
201,19355,16,2024,2
202,32247,16,2024,2
203,15821,16,2020,4
204,19487,16,2027,2
205,10571,16,2019,3
206,10266,19,2024,1
207,3694,19,2024,4
208,10767,19,2025,1
209,18466,19,2030,3
210,35916,19,2023,1
211,10328,18,2027,3
212,18382,18,2028,4
213,3156,23,2028,2
214,10328,27,2024,1
215,18382,27,2028,2
216,13856,27,2022,2
217,10372,27,2024,4
218,19173,27,2026,3
219,1640,27,2028,4
220,23090,27,2029,3
221,14062,27,2023,3
222,2311,27,2021,2
223,9282,27,2021,2
224,19045,29,2029,3
225,23596,29,2021,4
226,135,29,2021,2
227,24905,29,2023,1
228,34535,29,2024,2
229,17328,29,2021,1
230,8975,29,2021,1
231,5513,29,2023,4
232,1138,29,2026,1
233,3535,25,2027,2
234,13509,35,2021,3
235,9899,35,2019,4
236,17048,28,2022,3
237,13574,28,2020,4
238,32143,28,2030,3
239,28452,28,2019,3
240,32859,28,2026,4
241,16796,28,2023,3
242,9394,28,2019,2
243,9990,31,2019,4
244,18884,24,2030,2
245,8487,24,2027,2
246,17594,24,2025,3
247,9993,24,2026,4
248,22481,24,2020,2
249,12743,24,2025,2
250,28453,24,2029,3
251,43811,24,2020,3
252,12435,24,2027,1
253,22265,24,2027,1
254,433,38,2024,2
255,14202,38,2029,3
256,19515,33,2023,4
257,11171,33,2024,3
258,22276,33,2024,1
259,20572,33,2027,4
260,28892,33,2025,4
261,23322,32,2024,2
262,9675,26,2030,4
263,8611,26,2026,1
264,8024,30,2030,4
265,8640,30,2022,3
266,2088,30,2030,4
267,10485,30,2028,1
268,16013,40,2023,3
269,17587,40,2026,4
270,18964,40,2020,2
271,15848,40,2028,1
272,2622,40,2025,1
273,11369,40,2030,3
274,6458,40,2020,2
275,11290,40,2026,1
276,2646,42,2026,3
277,904,42,2021,2
278,7257,42,2024,2
279,8587,36,2022,4
280,10290,36,2024,4
281,7382,36,2022,2
282,7593,50,2021,1
283,33278,39,2030,1
284,108,39,2019,1
285,18673,39,2027,3
286,37180,43,2024,3
287,3049,43,2027,2
288,16983,43,2022,2
289,13205,43,2025,1
290,9732,46,2019,1
291,9716,46,2029,2
292,8940,41,2019,4
293,7923,52,2020,3
294,16013,51,2023,2
295,17587,51,2024,1
296,18964,51,2028,4
297,15848,51,2027,3
298,2622,51,2021,4
299,11369,51,2022,4
300,10201,51,2027,4
301,3106,51,2019,2
302,9230,51,2028,1
303,8457,68,2021,1
304,2533,67,2027,3
305,10818,67,2020,4
306,7149,72,2023,4
307,9123,70,2025,2
308,20422,70,2019,1
309,9020,75,2022,1
310,13344,75,2026,3
311,13645,75,2030,4
312,30028,75,2022,1
313,10379,75,2024,2
314,24149,75,2022,1
315,17898,6,2028,2
316,17679,6,2027,4
317,9506,6,2023,4
318,16577,6,2020,1
319,10884,13,2030,2
320,20507,15,2020,3
321,4762,15,2025,4
322,6181,15,2022,1
323,10767,17,2022,1
324,18466,17,2028,4
325,35916,17,2026,2
326,10730,21,2019,3
327,28484,21,2028,2
328,3946,19,2021,4
329,1664,19,2021,1
330,10963,35,2023,1
331,17789,28,2025,1
332,9989,38,2026,3
333,10759,40,2021,1
334,10862,34,2023,2
335,1643,53,2029,1
336,2458,65,2030,2
337,7175,65,2023,2
338,6582,65,2028,4
339,4054,65,2019,4
340,17621,65,2019,1
341,16883,65,2022,2
342,18794,65,2027,3
343,18585,65,2019,1
344,18432,65,2020,4
345,10999,67,2019,1
346,7924,77,2029,3
347,39403,77,2023,1
348,13124,77,2029,2
349,18872,77,2019,2
350,15186,77,2024,3
351,16637,77,2027,3
352,16381,77,2021,4
353,71,77,2026,3
354,17848,77,2027,4
355,17355,77,2026,3
356,6156,77,2029,4
357,23482,9,2022,1
358,18756,10,2019,4
359,10942,10,2024,3
360,11161,15,2022,2
361,19045,15,2027,1
362,23596,15,2023,3
363,135,15,2026,1
364,24905,15,2025,4
365,34535,15,2024,1
366,17328,15,2030,2
367,8975,15,2021,4
368,5513,15,2029,1
369,18839,15,2027,3
370,14440,16,2024,1
371,11047,22,2029,4
372,2458,24,2024,1
373,7175,24,2025,4
374,6582,24,2023,1
375,4054,24,2024,1
376,17621,24,2023,3
377,16883,24,2025,1
378,18794,24,2029,1
379,18585,24,2022,3
380,18432,24,2025,2
381,10843,31,2028,2
382,10341,41,2030,1
383,11060,51,2027,3
384,10643,65,2021,2
385,11143,56,2023,1
386,10708,67,2021,1
387,3962,75,2027,1
388,23387,75,2021,1
389,10001,75,2029,2
390,571,75,2024,2
391,10466,75,2024,4
392,16902,1,2019,1
393,19355,1,2024,1
394,32247,1,2026,2
395,15821,1,2027,2
396,19487,1,2019,3
