month_dt,region_desc,obj_cnt,total_area,living_area,elem_1k_cnt,elem_2k_cnt,elem_3k_cnt,elem_4k_cnt,elem_parking_cnt
2021-01-01,Хакасия Республика,1,5600,3600,32,19,9,0,0
2021-01-01,Севастополь город,2,9700,6600,79,56,9,0,0
2021-01-01,Крым Республика,6,34300,23000,373,103,29,4,0
2021-01-01,Курская область,1,6900,5400,41,40,19,0,0
2021-01-01,Ярославская область,1,4900,3300,8,40,8,0,0
2021-01-01,Псковская область,5,46800,32000,453,112,94,10,8
2021-01-01,Новгородская область,1,4300,3000,32,24,8,0,0
2021-01-01,Белгородская область,2,10900,7500,87,36,13,3,0
2021-01-01,Липецкая область,2,28700,22300,173,129,74,0,0
2021-01-01,Омская область,1,32300,20600,412,41,0,0,0
2021-01-01,Москва город,1,8700,5700,64,32,16,0,54
2021-01-01,Бурятия Республика,1,7800,4900,65,26,11,0,0
2021-01-01,Ленинградская область,1,22300,14400,288,96,0,0,0
2021-01-01,Тульская область,4,92900,44800,411,253,135,0,0
2021-01-01,Карелия Республика,4,32800,22500,98,162,92,35,34
2021-01-01,Саха (Якутия) Республика ,1,1500,900,30,0,0,0,0
2021-01-01,Красноярский край,2,30900,21000,153,135,68,0,0
2021-01-01,Тюменская область,6,94000,63800,916,396,64,10,0
2021-01-01,Ханты-Мансийский АО - Югра,1,18300,13800,118,108,27,0,1
2021-01-01,Челябинская область,2,23100,16100,201,62,43,14,27
2021-01-01,Краснодарский край,4,99000,67800,902,373,133,16,62
2021-01-01,Мордовия Республика,2,16600,9700,80,48,38,0,0
2021-01-01,Ростовская область,11,38600,28000,372,187,54,5,15
2021-01-01,Новосибирская область,9,37300,21000,153,174,48,14,37
2021-01-01,Забайкальский край,1,9100,9100,120,48,0,0,0
2021-01-01,Смоленская область,2,8700,6700,57,62,10,0,0
2021-01-01,Рязанская область,2,35900,23600,238,152,59,0,0
2021-01-01,Удмуртская Республика,8,101200,60300,490,524,194,0,80
2021-01-01,Адыгея Республика,2,20700,14100,260,106,0,0,0
2021-01-01,Пензенская область,3,81200,48400,768,243,111,6,0
