developer_id,developer_name,developer_inn,developer_ogrn,active_projects,total_construction_volume,living_construction_volume,avg_project_floors,regions_count
7364,СЗ-1 ЮСИ-ДОН,6163148597,1166196086891,136,1951758.50,1143840.40,11.46,1
154,БРУСНИКА,6671382990,1116671018958,48,1506025.88,860147.55,15.54,8
15042,СЗ СЭТЛ ЭСТЕЙТ,7810733993,1187847194490,33,1476498.20,783730.22,22.39,1
18490,СЗ ГРАДСТРОЙПРОЕКТ,2311311443,1202300058586,66,989025.26,453266.77,10.15,1
10445,СЗ А101,7751172550,1197746656095,14,927476.37,483306.70,17.29,1
19464,СЗ КАП,2312312810,1222300046319,27,892639.20,470916.60,10.96,1
17384,СЗ ЖИВЫЕ КВАРТАЛЫ,2312314158,1222300055790,48,881436.72,503063.00,12.00,1
24450,СЗ КРАСНОДАРСКИЙ ДЕВЕЛОПЕР 1,2308290151,1232300011184,49,838806.15,421449.10,9.96,1
19589,СЗ КСАР,2308183431,1112308009550,67,830791.80,417071.10,9.81,1
22850,СЗ СТОЛИЦЫНО,2366024462,1202300068761,19,814354.23,470080.40,15.74,1
20019,СЗ МАГНУМ-СТАВРОПОЛЬЕ,6102077797,1236100007483,5,705165.50,82979.50,9.80,1
24976,СЗ СТРОЙДОМКРАСНОДАР,2328006046,1122328000112,39,672182.87,319523.06,5.64,1
17148,СЗ РОСТОВСТРОЙ-ДОН,6164138746,1226100020970,13,663504.54,393908.07,24.15,1
239,ЛСР. НЕДВИЖИМОСТЬ-СЗ,7826090547,1027810227884,37,613565.79,360607.14,16.16,1
16007,КВАРТАЛ РЕСПУБЛИКИ 205. ТЮМЕНЬ,7203523143,1217200011621,18,579172.27,242673.93,15.44,4
14011,СЗ ЭТАЛОН-ЕКАТЕРИНБУРГ,7814799956,1217800171137,14,524363.34,267368.72,16.79,1
14082,СЗ ДОГМА-ПАРК 21,2311322580,1212300046771,38,507642.13,292446.10,10.00,1
27103,СЗ СТРОЙПАРК,2311250215,1172375102305,49,492826.84,280075.60,11.33,1
6316,СЗ ЕЛЬЦОВСКИЙ,5402577164,1145476072378,4,483197.94,41674.85,17.25,1
17877,СЗ НИГО-ХОЛДИНГ,8903020348,1028900577760,8,478867.58,280374.45,15.63,1
14174,ФОНД РЕНОВАЦИИ,7703434808,1177700018319,15,476218.95,280346.50,20.93,1
13738,СЗ ПАРК ПОБЕДЫ-2,2311318262,1212300023154,28,471913.40,310607.00,9.50,1
866,СЗ-20 ЮСИ,2635224470,1162651079381,35,469360.20,266321.40,13.54,1
2260,СЗ РСГ-АКАДЕМИЧЕСКОЕ,6658328507,1086658031052,18,468475.89,292339.83,14.94,1
215,СЗ ТИРОН,7709490911,1167746411799,7,462716.96,259594.60,21.57,1
16594,СЗ ПРОЕКТ-СТРАНА-18,4706057359,1234700004692,10,453918.51,278806.59,19.20,1
13681,СЗ СЭТЛ СТАНДАРТ,7810787580,1207800014487,5,444527.98,198961.27,14.40,1
12691,СЗ 1,1655458001,1211600037835,17,438034.03,61377.20,8.24,1
9364,СЗ ТПУ ЛЕСОПАРКОВАЯ,7701387380,1147746148263,5,436123.65,256217.56,37.20,1
17343,СЗ ПРОЕКТ-СТРАНА-4,2543167422,1222500017893,20,435049.61,251521.17,25.20,1
9034,СЗ КАПИТАЛЪ,2312253040,1162375047262,9,434907.77,216393.91,19.56,1
18542,СЗ СК АВАНГАРД,2308210276,1142308006774,7,433845.05,237741.90,24.00,1
16666,СЗ ССК НОВОРОССИЙСК,2315213302,1192375058083,49,433418.65,193469.04,10.45,1
12959,СЗ СЕМЬЯ-ТЁПЛЫЕ КРАЯ,2309110436,1082309001433,27,417000.34,228376.55,14.48,1
868,СЗ ЮГСТРОЙИМПЕРИАЛ,2309137163,1132309005289,11,406503.16,275927.18,18.73,1
24067,СЗ МЕГА СТРОЙ,3666267267,1233600011039,4,404177.06,54452.24,10.00,1
