region_code,region_name,year,quarter,buildings_count,apartments_count,total_living_area
1,Республика Адыгея,2026,2,6,1445,71317
2,Республика Башкортостан,2026,2,31,4051,182890
3,Республика Бурятия,2026,2,24,1842,91725
4,Республика Алтай,2026,2,3,396,15806
5,Республика Дагестан,2026,2,15,2326,124236
7,Кабардино-Балкарская Республика,2026,2,16,2455,150930
9,Карачаево-Черкесская Республика,2026,2,3,168,8687
10,Республика Карелия,2026,2,4,373,17159
11,Республика Коми,2026,2,1,131,7915
12,Республика Марий Эл,2026,2,3,330,21790
13,Республика Мордовия,2026,2,4,597,27498
14,Республика Саха (Якутия),2026,2,9,1351,62516
15,Республика Северная Осетия,2026,2,9,1040,65202
16,Республика Татарстан,2026,2,13,5191,260724
17,Республика Тыва,2026,2,6,330,19122
18,Удмуртская Республика,2026,2,13,2756,141658
19,Республика Хакасия,2026,2,3,440,25039
20,Чеченская Республика,2026,2,1,176,9230
21,Чувашская Республика,2026,2,15,1275,71568
22,Алтайский край,2026,2,11,1969,105922
23,Краснодарский край,2026,2,24,8753,391621
24,Красноярский край,2026,2,12,1876,102995
25,Приморский край,2026,2,15,2293,111434
26,Ставропольский край,2026,2,21,4503,233530
27,Хабаровский край,2026,2,18,3652,150664
28,Амурская область,2026,2,3,345,15610
29,Архангельская область,2026,2,7,816,42689
30,Астраханская область,2026,2,6,943,45607
31,Белгородская область,2026,2,1,205,10653
32,Брянская область,2026,2,3,385,24632
33,Владимирская область,2026,2,12,309,16838
34,Волгоградская область,2026,2,33,3657,173868
35,Вологодская область,2026,2,26,1469,78066
36,Воронежская область,2026,2,13,1644,86060
37,Ивановская область,2026,2,5,659,39960
38,Иркутская область,2026,2,16,3019,141812
39,Калининградская область,2026,2,46,3868,194652
40,Калужская область,2026,2,10,1371,75207
41,Камчатский край,2026,2,1,43,1547
42,Кемеровская область - Кузбасс,2026,2,2,399,20953
43,Кировская область,2026,2,11,1328,70628
44,Костромская область,2026,2,1,62,3414
45,Курганская область,2026,2,2,346,16051
46,Курская область,2026,2,4,1030,54226
47,Ленинградская область,2026,2,39,15347,555573
48,Липецкая область,2026,2,46,612,29206
50,Московская область,2026,2,104,13760,656420
51,Мурманская область,2026,2,1,193,10063
52,Нижегородская область,2026,2,18,3134,159413
53,Новгородская область,2026,2,9,836,45342
54,Новосибирская область,2026,2,47,5194,269193
55,Омская область,2026,2,5,2120,100341
56,Оренбургская область,2026,2,12,893,49872
57,Орловская область,2026,2,5,417,24791
58,Пензенская область,2026,2,17,3553,169096
59,Пермский край,2026,2,22,4474,218952
60,Псковская область,2026,2,9,984,50533
61,Ростовская область,2026,2,5,1277,57014
62,Рязанская область,2026,2,15,1449,85212
63,Самарская область,2026,2,20,4629,234482
64,Саратовская область,2026,2,7,489,27927
65,Сахалинская область,2026,2,2,665,32437
66,Свердловская область,2026,2,39,10545,474265
67,Смоленская область,2026,2,9,896,45927
68,Тамбовская область,2026,2,8,834,49708
69,Тверская область,2026,2,19,1199,61872
70,Томская область,2026,2,7,1749,83438
71,Тульская область,2026,2,17,3063,151418
72,Тюменская область,2026,2,8,2354,117838
73,Ульяновская область,2026,2,8,826,44662
74,Челябинская область,2026,2,44,3927,216478
75,Забайкальский край,2026,2,5,1103,52692
76,Ярославская область,2026,2,30,4010,203207
77,Город Москва,2026,2,20,9157,559082
78,Город Санкт-Петербург,2026,2,7,2854,113883
79,Еврейская АО,2026,2,1,263,9979
86,Ханты-Мансийский АО - Югра,2026,2,6,677,35736
89,Ямало-Ненецкий АО,2026,2,11,251,14623
91,Республика Крым,2026,2,33,4999,245838
92,Город Севастополь,2026,2,1,380,21694
93,Донецкая Народная Республика,2026,2,7,1138,49222
94,Луганская Народная Республика,2026,2,15,2626,133200
95,Херсонская область,2026,2,3,1165,48754
1,Республика Адыгея,2026,1,5,1522,70147
2,Республика Башкортостан,2026,1,43,10225,473922
3,Республика Бурятия,2026,1,10,1334,59327
4,Республика Алтай,2026,1,1,71,3347
5,Республика Дагестан,2026,1,10,2079,116751
7,Кабардино-Балкарская Республика,2026,1,16,3033,184185
9,Карачаево-Черкесская Республика,2026,1,2,318,21205
10,Республика Карелия,2026,1,5,727,34809
11,Республика Коми,2026,1,2,230,11977
12,Республика Марий Эл,2026,1,3,309,14994
13,Республика Мордовия,2026,1,1,300,16182
14,Республика Саха (Якутия),2026,1,5,635,32072
15,Республика Северная Осетия,2026,1,5,662,36308
16,Республика Татарстан,2026,1,16,3771,173002
17,Республика Тыва,2026,1,8,461,22340
18,Удмуртская Республика,2026,1,7,999,51815
19,Республика Хакасия,2026,1,5,694,34824
20,Чеченская Республика,2026,1,0,,
21,Чувашская Республика,2026,1,9,1203,73101
22,Алтайский край,2026,1,15,2817,138853
23,Краснодарский край,2026,1,50,12270,507491
24,Красноярский край,2026,1,7,2113,98114
25,Приморский край,2026,1,23,2937,148485
26,Ставропольский край,2026,1,29,8212,393630
27,Хабаровский край,2026,1,8,1415,70270
28,Амурская область,2026,1,7,1050,53127
29,Архангельская область,2026,1,13,2797,125232
30,Астраханская область,2026,1,14,3178,144735
31,Белгородская область,2026,1,11,608,28426
32,Брянская область,2026,1,8,931,49972
33,Владимирская область,2026,1,3,558,27409
34,Волгоградская область,2026,1,18,1505,76276
35,Вологодская область,2026,1,7,679,30656
36,Воронежская область,2026,1,7,1735,86287
37,Ивановская область,2026,1,5,407,24710
38,Иркутская область,2026,1,5,1007,50140
39,Калининградская область,2026,1,25,2668,140942
40,Калужская область,2026,1,8,913,55261
42,Кемеровская область - Кузбасс,2026,1,3,915,39413
43,Кировская область,2026,1,16,1856,102984
44,Костромская область,2026,1,9,449,23962
45,Курганская область,2026,1,5,720,33316
46,Курская область,2026,1,29,547,31472
47,Ленинградская область,2026,1,151,18288,761630
48,Липецкая область,2026,1,25,889,45238
50,Московская область,2026,1,65,17479,791695
52,Нижегородская область,2026,1,9,2310,123972
53,Новгородская область,2026,1,3,166,7753
54,Новосибирская область,2026,1,26,6228,334571
55,Омская область,2026,1,10,2817,132577
56,Оренбургская область,2026,1,20,2565,134168
57,Орловская область,2026,1,2,405,20340
58,Пензенская область,2026,1,8,2564,118651
59,Пермский край,2026,1,15,2930,144075
60,Псковская область,2026,1,4,644,29878
61,Ростовская область,2026,1,32,7977,382823
62,Рязанская область,2026,1,6,2036,82884
63,Самарская область,2026,1,6,877,52821
64,Саратовская область,2026,1,7,488,24830
66,Свердловская область,2026,1,26,10275,492478
