stats_id,month_date,region_id,obj_cnt,total_area,living_area,parking_cnt
1,2021-01-01,67,1,5600,3600,0
2,2021-01-01,58,2,9700,6600,0
3,2021-01-01,38,6,34300,23000,0
4,2021-01-01,59,1,6900,5400,0
5,2021-01-01,24,1,4900,3300,0
6,2021-01-01,53,5,46800,32000,8
7,2021-01-01,74,1,4300,3000,0
8,2021-01-01,65,2,10900,7500,0
9,2021-01-01,43,2,28700,22300,0
10,2021-01-01,52,1,32300,20600,0
11,2021-01-01,1,1,8700,5700,54
12,2021-01-01,56,1,7800,4900,0
13,2021-01-01,6,1,22300,14400,0
14,2021-01-01,28,4,92900,44800,0
15,2021-01-01,49,4,32800,22500,34
16,2021-01-01,45,1,1500,900,0
17,2021-01-01,10,2,30900,21000,0
18,2021-01-01,13,6,94000,63800,0
19,2021-01-01,39,1,18300,13800,1
20,2021-01-01,18,2,23100,16100,27
21,2021-01-01,4,4,99000,67800,62
22,2021-01-01,71,2,16600,9700,0
23,2021-01-01,9,11,38600,28000,15
24,2021-01-01,8,9,37300,21000,37
25,2021-01-01,72,1,9100,9100,0
26,2021-01-01,46,2,8700,6700,0
27,2021-01-01,14,2,35900,23600,0
28,2021-01-01,27,8,101200,60300,80
29,2021-01-01,50,2,20700,14100,0
30,2021-01-01,35,3,81200,48400,0
31,2021-01-01,17,3,35000,24300,0
32,2021-01-01,22,1,4000,2700,0
33,2021-01-01,15,7,158200,117700,0
34,2021-01-01,34,3,22300,15300,0
35,2021-01-01,30,7,59700,38000,230
36,2021-01-01,55,2,30400,21600,0
37,2021-01-01,11,7,69600,55100,115
38,2021-01-01,19,3,80800,53600,0
39,2021-01-01,20,3,54700,33800,0
40,2021-01-01,41,1,13300,10200,0
41,2021-01-01,29,1,4000,2800,0
42,2021-01-01,62,3,10300,7700,0
43,2021-01-01,3,13,302500,190400,323
44,2021-01-01,60,4,20200,13200,0
45,2021-01-01,37,1,8900,6000,0
46,2021-01-01,44,2,5800,4100,0
47,2021-01-01,40,2,10900,7700,12
48,2021-01-01,21,6,114900,78100,0
49,2021-01-01,2,4,219000,99100,0
50,2021-01-01,26,11,57400,43300,0
51,2021-01-01,12,1,13700,10700,0
52,2021-01-01,7,14,263900,166100,328
53,2021-01-01,54,2,13700,9300,0
54,2021-01-01,63,2,34400,20500,0
55,2021-01-01,33,3,23300,16300,30
56,2021-01-01,36,3,15300,10500,1
57,2021-01-01,23,1,8800,6500,0
58,2021-01-01,16,4,24900,13300,55
59,2021-01-01,5,2,35300,25700,0
60,2021-01-01,76,1,2500,1900,0
61,2021-02-01,76,1,2500,1900,0
62,2021-02-01,62,5,15500,12200,0
63,2021-02-01,45,2,8600,6100,10
64,2021-02-01,35,5,96300,57300,0
65,2021-02-01,60,5,31900,21600,0
66,2021-02-01,28,7,154900,82500,0
67,2021-02-01,6,2,33300,21900,0
68,2021-02-01,17,9,160000,100200,139
69,2021-02-01,33,8,75800,53100,30
70,2021-02-01,37,1,8900,6000,0
71,2021-02-01,34,6,30500,21600,0
72,2021-02-01,48,1,8600,6100,0
73,2021-02-01,25,1,10800,6500,0
74,2021-02-01,7,18,340000,215900,388
75,2021-02-01,8,14,108000,65300,152
76,2021-02-01,66,3,6100,5500,0
77,2021-02-01,56,1,7800,4900,0
78,2021-02-01,40,4,16000,11700,12
79,2021-02-01,31,1,4700,3500,0
80,2021-02-01,57,1,23800,13200,49
81,2021-02-01,32,4,73200,43000,0
82,2021-02-01,47,1,7300,5400,0
