object_id,status,valid_from,valid_to,is_current
1,запланирован,2025-09-01,2026-07-01,False
1,строится,2026-07-01,,True
2,запланирован,2018-01-01,2018-11-01,False
2,строится,2018-11-01,2021-01-01,False
2,введён,2021-01-01,,True
3,запланирован,2018-05-01,2018-10-01,False
3,строится,2018-10-01,2020-08-01,False
3,введён,2020-08-01,,True
4,запланирован,2022-11-01,2023-02-01,False
4,строится,2023-02-01,2025-01-01,False
4,введён,2025-01-01,,True
5,запланирован,2024-03-01,2024-07-01,False
5,строится,2024-07-01,2025-06-01,False
5,введён,2025-06-01,,True
6,запланирован,2026-01-01,2026-06-01,False
6,строится,2026-06-01,,True
7,запланирован,2024-05-01,2025-07-01,False
7,строится,2025-07-01,,True
8,запланирован,2016-11-01,2018-04-01,False
8,строится,2018-04-01,2019-07-01,False
8,введён,2019-07-01,,True
9,запланирован,2022-05-01,2023-10-01,False
9,строится,2023-10-01,2025-08-01,False
9,введён,2025-08-01,,True
10,запланирован,2020-05-01,2020-12-01,False
10,строится,2020-12-01,2023-02-01,False
10,введён,2023-02-01,,True
11,запланирован,2025-04-01,2025-10-01,False
11,строится,2025-10-01,,True
12,запланирован,2016-11-01,2018-01-01,False
12,строится,2018-01-01,2020-02-01,False
12,введён,2020-02-01,,True
13,запланирован,2024-05-01,2025-06-01,False
13,строится,2025-06-01,,True
14,запланирован,2020-03-01,2021-08-01,False
14,строится,2021-08-01,2024-02-01,False
14,введён,2024-02-01,,True
15,запланирован,2019-03-01,2020-05-01,False
15,строится,2020-05-01,2023-04-01,False
15,введён,2023-04-01,,True
16,запланирован,2023-06-01,2024-08-01,False
16,строится,2024-08-01,2026-03-01,False
16,введён,2026-03-01,,True
17,запланирован,2019-06-01,2020-10-01,False
17,строится,2020-10-01,2021-08-01,False
17,введён,2021-08-01,,True
18,запланирован,2026-04-01,,True
19,запланирован,2015-01-01,2016-02-01,False
19,строится,2016-02-01,2019-07-01,False
19,введён,2019-07-01,,True
20,запланирован,2025-11-01,,True
21,запланирован,2027-05-01,,True
22,запланирован,2024-04-01,2024-07-01,False
22,строится,2024-07-01,,True
23,запланирован,2027-05-01,,True
24,запланирован,2024-10-01,2025-01-01,False
24,строится,2025-01-01,2026-07-01,False
24,введён,2026-07-01,,True
