region_id,year,quarter,buildings_count,apartments_count,total_living_area
50,2026,2,6,1445,71317.0
5,2026,2,31,4051,182890.0
56,2026,2,24,1842,91725.0
76,2026,2,3,396,15806.0
61,2026,2,15,2326,124236.0
66,2026,2,16,2455,150930.0
83,2026,2,3,168,8687.0
49,2026,2,4,373,17159.0
63,2026,2,1,131,7915.0
48,2026,2,3,330,21790.0
71,2026,2,4,597,27498.0
45,2026,2,9,1351,62516.0
47,2026,2,9,1040,65202.0
11,2026,2,13,5191,260724.0
78,2026,2,6,330,19122.0
27,2026,2,13,2756,141658.0
67,2026,2,3,440,25039.0
69,2026,2,1,176,9230.0
33,2026,2,15,1275,71568.0
21,2026,2,11,1969,105922.0
4,2026,2,24,8753,391621.0
10,2026,2,12,1876,102995.0
29,2026,2,15,2293,111434.0
19,2026,2,21,4503,233530.0
44,2026,2,18,3652,150664.0
70,2026,2,3,345,15610.0
40,2026,2,7,816,42689.0
57,2026,2,6,943,45607.0
65,2026,2,1,205,10653.0
32,2026,2,3,385,24632.0
22,2026,2,12,309,16838.0
30,2026,2,33,3657,173868.0
31,2026,2,26,1469,78066.0
15,2026,2,13,1644,86060.0
54,2026,2,5,659,39960.0
25,2026,2,16,3019,141812.0
16,2026,2,46,3868,194652.0
26,2026,2,10,1371,75207.0
81,2026,2,1,43,1547.0
37,2026,2,2,399,20953.0
36,2026,2,11,1328,70628.0
62,2026,2,1,62,3414.0
75,2026,2,2,346,16051.0
59,2026,2,4,1030,54226.0
6,2026,2,39,15347,555573.0
43,2026,2,46,612,29206.0
3,2026,2,104,13760,656420.0
79,2026,2,1,193,10063.0
23,2026,2,18,3134,159413.0
74,2026,2,9,836,45342.0
8,2026,2,47,5194,269193.0
52,2026,2,5,2120,100341.0
41,2026,2,12,893,49872.0
55,2026,2,5,417,24791.0
35,2026,2,17,3553,169096.0
17,2026,2,22,4474,218952.0
53,2026,2,9,984,50533.0
9,2026,2,5,1277,57014.0
14,2026,2,15,1449,85212.0
12,2026,2,20,4629,234482.0
20,2026,2,7,489,27927.0
64,2026,2,2,665,32437.0
7,2026,2,39,10545,474265.0
46,2026,2,9,896,45927.0
51,2026,2,8,834,49708.0
42,2026,2,19,1199,61872.0
68,2026,2,7,1749,83438.0
28,2026,2,17,3063,151418.0
13,2026,2,8,2354,117838.0
34,2026,2,8,826,44662.0
18,2026,2,44,3927,216478.0
72,2026,2,5,1103,52692.0
24,2026,2,30,4010,203207.0
1,2026,2,20,9157,559082.0
2,2026,2,7,2854,113883.0
84,2026,2,1,263,9979.0
39,2026,2,6,677,35736.0
60,2026,2,11,251,14623.0
38,2026,2,33,4999,245838.0
58,2026,2,1,380,21694.0
85,2026,2,7,1138,49222.0
87,2026,2,15,2626,133200.0
88,2026,2,3,1165,48754.0
50,2026,1,5,1522,70147.0
5,2026,1,43,10225,473922.0
56,2026,1,10,1334,59327.0
76,2026,1,1,71,3347.0
61,2026,1,10,2079,116751.0
66,2026,1,16,3033,184185.0
83,2026,1,2,318,21205.0
49,2026,1,5,727,34809.0
63,2026,1,2,230,11977.0
48,2026,1,3,309,14994.0
71,2026,1,1,300,16182.0
45,2026,1,5,635,32072.0
47,2026,1,5,662,36308.0
11,2026,1,16,3771,173002.0
78,2026,1,8,461,22340.0
27,2026,1,7,999,51815.0
67,2026,1,5,694,34824.0
33,2026,1,9,1203,73101.0
21,2026,1,15,2817,138853.0
4,2026,1,50,12270,507491.0
10,2026,1,7,2113,98114.0
29,2026,1,23,2937,148485.0
19,2026,1,29,8212,393630.0
44,2026,1,8,1415,70270.0
70,2026,1,7,1050,53127.0
40,2026,1,13,2797,125232.0
57,2026,1,14,3178,144735.0
65,2026,1,11,608,28426.0
32,2026,1,8,931,49972.0
22,2026,1,3,558,27409.0
30,2026,1,18,1505,76276.0
31,2026,1,7,679,30656.0
15,2026,1,7,1735,86287.0
54,2026,1,5,407,24710.0
25,2026,1,5,1007,50140.0
16,2026,1,25,2668,140942.0
26,2026,1,8,913,55261.0
37,2026,1,3,915,39413.0
36,2026,1,16,1856,102984.0
62,2026,1,9,449,23962.0
75,2026,1,5,720,33316.0
59,2026,1,29,547,31472.0
6,2026,1,151,18288,761630.0
43,2026,1,25,889,45238.0
3,2026,1,65,17479,791695.0
23,2026,1,9,2310,123972.0
74,2026,1,3,166,7753.0
8,2026,1,26,6228,334571.0
52,2026,1,10,2817,132577.0
41,2026,1,20,2565,134168.0
55,2026,1,2,405,20340.0
35,2026,1,8,2564,118651.0
17,2026,1,15,2930,144075.0
53,2026,1,4,644,29878.0
9,2026,1,32,7977,382823.0
14,2026,1,6,2036,82884.0
12,2026,1,6,877,52821.0
20,2026,1,7,488,24830.0
7,2026,1,26,10275,492478.0
46,2026,1,6,774,42783.0
51,2026,1,15,776,38226.0
42,2026,1,5,567,28227.0
68,2026,1,5,1374,61070.0
28,2026,1,18,3473,160709.0
13,2026,1,22,4847,257256.0
34,2026,1,13,2698,126001.0
18,2026,1,13,1604,79758.0
72,2026,1,5,562,29304.0
24,2026,1,18,1478,78477.0
1,2026,1,33,12230,761080.0
2,2026,1,20,10028,427845.0
84,2026,1,1,84,4475.0
39,2026,1,3,430,17016.0
60,2026,1,37,311,18491.0
38,2026,1,17,2812,143238.0
58,2026,1,8,777,40942.0
85,2026,1,17,4053,178453.0
87,2026,1,39,4780,225578.0
88,2026,1,6,1080,42805.0
50,2025,4,43,9816,426884.0
5,2025,4,60,7656,347980.0
56,2025,4,8,1306,63278.0
76,2025,4,12,1206,55763.0
61,2025,4,15,1455,76628.0
73,2025,4,6,652,50983.0
66,2025,4,23,4017,217488.0
77,2025,4,1,35,2162.0
83,2025,4,2,102,6452.0
49,2025,4,13,1539,79782.0
63,2025,4,2,676,33636.0
48,2025,4,9,924,51174.0
71,2025,4,8,1133,58702.0
45,2025,4,8,953,48945.0
47,2025,4,9,1548,95684.0
11,2025,4,19,5145,247602.0
27,2025,4,18,3735,173960.0
67,2025,4,3,661,29789.0
69,2025,4,37,6188,383649.0
33,2025,4,14,2042,110121.0
21,2025,4,15,2022,101839.0
4,2025,4,77,19567,876202.0
10,2025,4,15,3147,163978.0
29,2025,4,23,2911,134916.0
19,2025,4,25,3654,194666.0
44,2025,4,6,806,35797.0
70,2025,4,4,550,27210.0
40,2025,4,16,2076,112966.0
57,2025,4,11,3183,147027.0
65,2025,4,12,694,36041.0
32,2025,4,24,1394,67627.0
22,2025,4,6,789,44747.0
30,2025,4,33,3893,171196.0
31,2025,4,15,1232,72374.0
15,2025,4,16,2898,148121.0
54,2025,4,6,744,43305.0
25,2025,4,13,2349,104506.0
16,2025,4,40,3856,179809.0
26,2025,4,20,3622,184209.0
81,2025,4,1,198,8564.0
37,2025,4,10,1307,65536.0
36,2025,4,17,2407,113364.0
62,2025,4,10,849,44168.0
75,2025,4,9,1158,60165.0
59,2025,4,9,740,36326.0
6,2025,4,28,6669,276217.0
43,2025,4,25,2781,127892.0
3,2025,4,73,15707,744519.0
79,2025,4,3,547,29181.0
23,2025,4,25,4846,242334.0
74,2025,4,10,1284,62204.0
8,2025,4,37,6783,338170.0
52,2025,4,4,816,38150.0
41,2025,4,18,1190,63344.0
55,2025,4,4,622,34032.0
35,2025,4,10,2779,127572.0
17,2025,4,20,5476,276067.0
53,2025,4,15,1694,78874.0
9,2025,4,46,10872,513992.0
14,2025,4,1,124,6520.0
12,2025,4,13,1802,100883.0
20,2025,4,10,438,25693.0
7,2025,4,58,18442,917408.0
46,2025,4,4,302,16240.0
51,2025,4,5,692,28442.0
68,2025,4,5,1389,68883.0
28,2025,4,10,2087,99676.0
13,2025,4,33,6373,318405.0
34,2025,4,6,765,41253.0
18,2025,4,32,5158,254879.0
72,2025,4,1,70,4055.0
24,2025,4,26,2771,140038.0
1,2025,4,37,17810,1033340.0
2,2025,4,26,10148,482334.0
84,2025,4,1,12,498.0
80,2025,4,1,41,2215.0
39,2025,4,9,1499,83285.0
86,2025,4,4,265,13855.0
60,2025,4,4,397,20702.0
89,2025,4,5,1252,46491.0
38,2025,4,49,3640,180055.0
58,2025,4,5,498,24832.0
85,2025,4,13,2005,84373.0
87,2025,4,14,1836,89126.0
88,2025,4,3,678,27254.0
50,2025,3,8,1542,72995.0
5,2025,3,22,5415,250287.0
56,2025,3,7,1054,54451.0
76,2025,3,5,419,20270.0
61,2025,3,10,1458,100551.0
66,2025,3,8,720,47987.0
77,2025,3,1,44,2623.0
83,2025,3,2,319,26758.0
49,2025,3,3,524,24949.0
63,2025,3,3,533,31912.0
48,2025,3,14,1697,109218.0
71,2025,3,1,159,7491.0
