name,oktmo,region_id,district_id
Москва,45000000,1,1
Санкт-Петербург,40000000,2,2
Московская область,46000000,3,1
Краснодарский край,3000000,4,3
Республика Башкортостан,80000000,5,5
Ленинградская область,41000000,6,2
Свердловская область,65000000,7,6
Новосибирская область,50000000,8,7
Ростовская область,60000000,9,3
Красноярский край,4000000,10,7
Республика Татарстан,92000000,11,5
Самарская область,36000000,12,5
Тюменская область (без автономных округов),71000000,13,6
Рязанская область,61000000,14,1
Воронежская область,20000000,15,1
Калининградская область,27000000,16,2
Пермский край,57000000,17,5
Челябинская область,75000000,18,6
Ставропольский край,7000000,19,4
Саратовская область,63000000,20,5
Алтайский край,1000000,21,7
Владимирская область,17000000,22,1
Нижегородская область,22000000,23,5
Ярославская область,78000000,24,1
Иркутская область,25000000,25,7
Калужская область,29000000,26,1
Удмуртская Республика,94000000,27,5
Тульская область,70000000,28,1
Приморский край,5000000,29,8
Волгоградская область,18000000,30,3
Вологодская область,19000000,31,2
Брянская область,15000000,32,1
Чувашская Республика,97000000,33,5
Ульяновская область,73000000,34,5
Пензенская область,56000000,35,5
Кировская область,33000000,36,5
Кемеровская область,32000000,37,7
Республика Крым,35000000,38,3
Ханты-Мансийский автономный округ — Югра,71800000,39,6
Архангельская область (без автономного округа),11000000,40,2
Оренбургская область,53000000,41,5
Тверская область,28000000,42,1
Липецкая область,42000000,43,1
Хабаровский край,8000000,44,8
Республика Саха (Якутия),98000000,45,8
Смоленская область,66000000,46,1
Республика Северная Осетия — Алания,90000000,47,4
Республика Марий Эл,88000000,48,5
Республика Карелия,86000000,49,2
Республика Адыгея,79000000,50,3
Тамбовская область,68000000,51,1
Омская область,52000000,52,7
Псковская область,58000000,53,2
Ивановская область,24000000,54,1
Орловская область,54000000,55,1
Республика Бурятия,81000000,56,7
Астраханская область,12000000,57,3
Севастополь,67000000,58,3
Курская область,38000000,59,1
Ямало-Ненецкий автономный округ,71900000,60,6
Республика Дагестан,82000000,61,4
Костромская область,34000000,62,1
Республика Коми,87000000,63,2
Сахалинская область,64000000,64,8
Белгородская область,14000000,65,1
Кабардино-Балкарская Республика,83000000,66,4
Республика Хакасия,95000000,67,7
Томская область,69000000,68,7
Чеченская Республика,96000000,69,4
Амурская область,10000000,70,8
Республика Мордовия,89000000,71,5
Забайкальский край,76000000,72,7
Республика Ингушетия,26000000,73,4
Новгородская область,49000000,74,2
Курганская область,37000000,75,6
Республика Алтай,84000000,76,7
Республика Калмыкия,85000000,77,3
Республика Тыва,93000000,78,7
Мурманская область,47000000,79,2
Ненецкий автономный округ,11800000,80,2
Камчатский край,30000000,81,8
Магаданская область,44000000,82,8
Карачаево-Черкесская Республика,91000000,83,4
Еврейская автономная область,99000000,84,8
Донецкая Народная Республика,93,85,1
Чукотский автономный округ,77000000,86,8
Луганская Народная Республика,94,87,5
Херсонская область,95,88,3
Запорожская область,90,89,3
